WGS_ID_VCF_ID,RNASeq_VCF_ID,Expression_ID,Hospital_ID,WGS_Orginal
WHB14594,RHL7501,ENABL392,NEMD028,WHB14594
WHB14595,RHL7403,ENABL362,NEMC097,WHB14595
WHB14596,RHL7443,ENABL412,NEMB141,WHB14596
WHB14598,RHL6457,ENABL273,NEMC055,WHB14598
WHB14601,RHL7484,ENABL369,NEMC104,WHB14601
WHB14604,RHL7489,ENABL310,NEMB088,WHB14604
WHB14605,RHL7451,ENABL317,NEMB099,WHB14605
WHB14607,RHL7359,ENABL355,NEMC089,WHB14607
WHB14608,RHL7420,ENABL393,SEMC001,WHB14608
WHB14610,RHL7372,ENABL370,NEMC105,WHB14610
WHB14611,RHL7370,ENABL435,CEMC003,WHB14611
WHB14612,RHL7469,ENABL419,NEMC126,WHB14612
WHB14613,RHL6546,ENABL282,NEMC064,WHB14613
WHB14614,RHL7455,ENABL348,NEMC082,WHB14614
WHB14615,RHL7381,ENABL425,NEMD029,WHB14615
WHB14617,RHL7466,ENABL377,NEMC112,WHB14617
WHB14618,RHL7389,ENABL382,NEMC118,WHB14618
WHB14619,RHL7402,ENABL402,CEMC002,WHB14619
WHB14620,RHL7355,ENABL324,NEMB108,WHB14620
WHB14621,RHL7446,ENABL376,NEMC111,WHB14621
